patch,top_5,top_10,top_20,median,Date
7.17,100.0,97.333,79.74,54.701,2017-08-23
7.18,96.364,85.596,75.645,50.0,2017-09-13
7.21,100.0,87.667,71.649,53.572,2017-10-25
7.22,100.0,100.0,86.027,50.0,2017-11-08
7.24,94.667,80.761,70.895,50.0,2017-12-06
8.1,96.0,81.095,69.023,50.0,2018-01-10
8.2,100.0,100.0,88.413,50.672,2018-01-24
8.3,100.0,100.0,87.196,52.128,2018-02-07
8.4,100.0,94.236,81.001,50.0,2018-02-22
8.5,100.0,100.0,85.217,50.909,2018-03-07
8.6,100.0,87.167,75.575,50.532,2018-03-21
8.7,100.0,100.0,78.0,66.667,2018-04-04
8.8,100.0,100.0,85.707,50.0,2018-04-18
8.10,100.0,100.0,87.821,53.333,2018-05-16
8.11,100.0,100.0,85.307,50.0,2018-05-31
8.12,100.0,100.0,85.985,50.0,2018-06-13
8.13,97.143,87.253,76.336,50.0,2018-06-27
8.14,100.0,90.265,80.609,52.512,2018-07-18
8.15,100.0,96.389,80.966,50.0,2018-08-01
8.16,100.0,90.167,78.355,50.0,2018-08-15
8.17,100.0,100.0,88.381,50.0,2018-08-29
8.19,100.0,97.5,81.817,54.545,2018-09-26
8.23,100.0,100.0,85.142,55.556,2018-11-20
8.24,100.0,86.877,72.977,50.0,2018-12-05
8.24b,100.0,98.333,82.487,54.545,2018-12-18
9.1,100.0,100.0,89.9,50.252,2019-01-09
9.2,100.0,95.238,79.286,50.0,2019-01-24
9.3,100.0,97.738,83.691,50.0,2019-02-06
9.4,100.0,97.222,81.335,50.0,2019-02-21
9.5,100.0,100.0,88.072,51.613,2019-03-06
9.6,100.0,92.167,79.42,50.0,2019-03-20
9.7,100.0,100.0,90.071,53.394,2019-04-03
9.8,100.0,93.611,81.256,50.0,2019-04-17
9.10,100.0,100.0,87.751,51.111,2019-05-14
9.11,100.0,98.571,84.634,51.613,2019-05-30
9.12,100.0,97.5,82.191,50.0,2019-06-12
9.13,100.0,100.0,88.085,50.0,2019-06-26
9.14,100.0,100.0,91.118,50.0,2019-07-17
9.15,100.0,100.0,98.452,51.613,2019-07-31
9.16,100.0,98.333,83.889,52.242,2019-08-14
9.17,100.0,100.0,82.368,100.0,2019-08-28
9.18,100.0,100.0,79.083,66.667,2019-09-11
9.19,100.0,94.286,79.673,50.0,2019-09-25
9.22,100.0,100.0,90.28,58.572,2019-11-06
9.23,100.0,88.682,78.178,50.0,2019-11-20
9.24b,100.0,100.0,87.512,56.25,2019-12-18
10.1,100.0,100.0,93.679,55.556,2020-01-08
10.2,100.0,95.5,82.143,50.0,2020-01-23
10.3,100.0,100.0,85.467,50.909,2020-02-05
10.4,100.0,100.0,94.752,52.5,2020-02-20
10.5,100.0,95.112,81.512,50.964,2020-03-04
